,0
80,https://1xbet.whoscored.com/Matches/1485521/Live/England-Premier-League-2020-2021-Chelsea-Arsenal
81,https://1xbet.whoscored.com/Matches/1485300/Live/England-Premier-League-2020-2021-Fulham-Brighton
82,https://1xbet.whoscored.com/Matches/1485548/Live/England-Premier-League-2020-2021-Liverpool-Newcastle-United
83,https://1xbet.whoscored.com/Matches/1485553/Live/England-Premier-League-2020-2021-Aston-Villa-Chelsea
84,https://1xbet.whoscored.com/Matches/1485187/Live/England-Premier-League-2020-2021-Fulham-Arsenal
85,https://1xbet.whoscored.com/Matches/1485423/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Manchester-United
86,https://1xbet.whoscored.com/Matches/1485534/Live/England-Premier-League-2020-2021-Southampton-Crystal-Palace
87,https://1xbet.whoscored.com/Matches/1485379/Live/England-Premier-League-2020-2021-Liverpool-Fulham
88,https://1xbet.whoscored.com/Matches/1485195/Live/England-Premier-League-2020-2021-Aston-Villa-Sheffield-United
89,https://1xbet.whoscored.com/Matches/1485306/Live/England-Premier-League-2020-2021-Sheffield-United-Manchester-United
90,https://1xbet.whoscored.com/Matches/1485501/Live/England-Premier-League-2020-2021-Liverpool-Southampton
91,https://1xbet.whoscored.com/Matches/1485240/Live/England-Premier-League-2020-2021-Chelsea-Tottenham
92,https://1xbet.whoscored.com/Matches/1485289/Live/England-Premier-League-2020-2021-West-Ham-Fulham
93,https://1xbet.whoscored.com/Matches/1485436/Live/England-Premier-League-2020-2021-Fulham-Leeds
94,https://1xbet.whoscored.com/Matches/1485309/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-Southampton
95,https://1xbet.whoscored.com/Matches/1485217/Live/England-Premier-League-2020-2021-Everton-Brighton
96,https://1xbet.whoscored.com/Matches/1485542/Live/England-Premier-League-2020-2021-Fulham-Tottenham
97,https://1xbet.whoscored.com/Matches/1485554/Live/England-Premier-League-2020-2021-West-Ham-Chelsea
98,https://1xbet.whoscored.com/Matches/1485250/Live/England-Premier-League-2020-2021-Southampton-Manchester-United
99,https://1xbet.whoscored.com/Matches/1485369/Live/England-Premier-League-2020-2021-Aston-Villa-Arsenal
100,https://1xbet.whoscored.com/Matches/1485263/Live/England-Premier-League-2020-2021-Newcastle-United-Everton
101,https://1xbet.whoscored.com/Matches/1485491/Live/England-Premier-League-2020-2021-Arsenal-West-Bromwich-Albion
102,https://1xbet.whoscored.com/Matches/1485245/Live/England-Premier-League-2020-2021-Southampton-Everton
