,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
9,Anthony Gordon,31,Everton,21, AM(LR)  ,12(3),1076,2.3,0.3,1.3,0,0.6,0.9,0,0,6.64
0,Manuel Akanji,167,Man City,27, D(CR)  ,10(1),927,1.5,0.5,1,0.5,1.1,0.3,0.1,0,6.62
1,Joe Gomez,26,Liverpool,25, D(CLR)  ,9(5),900,1.5,1,0.7,0.4,2,0.3,0.4,0,6.62
2,Joe Aribo,18,Southampton,26," M(CLR),FW  ",11(7),1086,1.6,0.4,0.5,0.1,0.6,0.4,0.1,0,6.62
3,Joël Veltman,211,Brighton,30," D(CR),M(R)  ",13(2),1111,2.1,0.9,1,0.5,2.3,0.5,0.3,0,6.61
4,Tosin Adarabioyo,170,Fulham,25, D(CR)  ,11(1),991,1,1.1,0.6,0.8,4.7,0.2,0.5,0,6.61
5,Emiliano Buendía,24,Aston Villa,26, M(CLR)  ,10(8),985,1.8,0.5,0.9,0,0.3,0.7,0,0,6.61
6,Ben Davies,30,Tottenham,29," D(CL),M(L)  ",12(3),1090,0.9,0.7,1,0.3,1.9,0.4,0.3,0,6.61
7,Saïd Benrahma,29,West Ham,27, AM(CLR)  ,9(7),939,0.7,0.3,0.4,0,0.3,0.3,0.1,0,6.61
8,Ashley Young,24,Aston Villa,37," D(LR),M(LR)  ",10(4),952,1.4,0.9,0.9,0,1.9,0.1,0.3,0,6.61
9,Vitaliy Mykolenko,31,Everton,23," D(CL),M(L)  ",18,1555,1.6,1.3,0.9,0.3,2.6,0.4,0.6,0,6.60
0,Sean Longstaff,23,Newcastle,25, DMC  ,14(4),1322,1.1,0.5,0.9,0,0.8,0.9,0.4,0,6.60
1,Idrissa Gueye,31,Everton,33, M(C)  ,12(1),967,2.2,2.2,1.2,0,1,0.7,0.5,0,6.60
2,Lucas Digne,24,Aston Villa,29," D(CL),M(L)  ",12(1),1059,1.7,1,0.8,0.2,2.1,0.5,0.4,1,6.60
3,Daniel Amartey,14,Leicester,28," D(CR),DMC  ",13(2),1184,1.1,0.5,0.3,0.5,3.2,0.1,0.6,0,6.59
4,Tyrone Mings,24,Aston Villa,29, D(CL)  ,16,1440,0.4,1.6,0.8,0.8,4.3,0.2,0.6,1,6.59
5,Harvey Barnes,14,Leicester,25, AM(CL)  ,16,1342,0.8,0.2,1.2,0,0.2,0.6,0,0,6.59
6,Antonee Robinson,170,Fulham,25," D(L),M(L)  ",16,1379,1.5,0.8,0.8,0.3,2.2,0.3,0.5,0,6.59
7,João Moutinho,161,Wolves,36, M(C)  ,14(2),1210,2,0.9,1.4,0.1,0.4,1.4,0.3,0,6.59
8,Boubacar Kamara,24,Aston Villa,23," D(CL),DMC  ",11(1),936,2.9,0.7,1.4,0,1.3,1.3,0.6,0,6.59
9,Kyle Walker-Peters,18,Southampton,25," D(LR),M(R)  ",14,1225,1.7,0.8,0.9,0,1.4,0.6,0.4,0,6.59
0,Ederson,167,Man City,29, GK  ,17,1530,0.1,0,0,0,0.6,0,0,0,6.59
1,José Sá,161,Wolves,29, GK  ,18,1620,0,0,0,0,0.6,0,0,0,6.59
2,Jadon Sancho,32,Man Utd,22, AM(CLR)  ,10,723,0.4,0.4,0.3,0,0.1,0.3,0,0,6.58
3,Jarrod Bowen,29,West Ham,26," AM(CLR),FW  ",18,1613,1.3,0.7,0.6,0,0.4,0.8,0.3,0,6.58
4,Tyrell Malacia,32,Man Utd,23, D(L)  ,8(3),747,1.8,1.2,1.5,0.1,2.2,0.7,0.2,0,6.58
5,John McGinn,24,Aston Villa,28, M(CR)  ,14(3),1227,2.2,0.7,1.2,0,0.3,0.8,0.2,0,6.58
6,Rico Henry,189,Brentford,25," D(L),M(L)  ",18,1617,1.6,0.8,0.6,0.3,1.9,0.3,0.3,0,6.58
7,Clément Lenglet,30,Tottenham,27, D(C)  ,10(1),839,1.4,0.9,0.5,0.3,2.3,0.4,0.5,0,6.58
8,Odsonne Édouard,162,Crystal Palace,24," AM(L),FW  ",9(6),804,0.9,0.1,0.9,0,0.7,0.1,0.3,0,6.58
9,Dwight McNeil,31,Everton,23, AM(CLR)  ,10(7),849,1.6,0.4,0.2,0,0.6,0.3,0,0,6.58
0,Crysencio Summerville,19,Leeds,21, AM(R)  ,5(7),551,1.2,0.3,0.8,0,0.2,0.3,0.1,0,6.57
1,Harrison Reed,170,Fulham,27," D(R),M(CR)  ",17,1422,1.1,0.6,0.9,0.1,1.2,0.8,0.2,0,6.57
2,Danny Ings,24,Aston Villa,30," AM(C),FW  ",8(9),761,0.5,0.1,0.4,0,0.4,0.2,0.1,0,6.57
3,Emerson Royal,30,Tottenham,23," D(R),M(R)  ",11(3),926,1.9,0.7,0.9,0.1,1.6,0.4,0.2,0,6.57
4,Jacob Ramsey,24,Aston Villa,21, AM(C)  ,12(3),1026,2.1,0.9,0.9,0,0.5,0.7,0.3,1,6.57
5,Daniel Podence,161,Wolves,27," AM(CLR),FW  ",15(3),1222,1.2,0.2,1.2,0,0.3,0.6,0,0,6.56
