,player_name,team_number,team_name,age,position,Apps,Mins,Goals,Assists,SpG,KeyP,Dribble,Fouled,Off,Disp,UnsTch,Rating
4,Hwang Hee-Chan,161,Wolves,26," AM(CLR),FW  ",6(8),531,0,1,0.4,0.2,0.4,0.6,0,0.7,1.3,6.19
5,Tariq Lamptey,211,Brighton,22," D(R),M(R)  ",1(13),297,0,0,0.1,0.2,0.4,0.8,0,0.1,0.9,6.18
6,Ibrahima Diallo,18,Southampton,23, DMC  ,7(3),498,0,0,0.4,0.1,0.5,0.6,0,0.6,1.2,6.16
7,Kelechi Iheanacho,14,Leicester,26," AM(C),FW  ",1(12),267,1,1,0.9,0.7,0.2,0.1,0.1,0.7,0.7,6.16
8,Jean-Philippe Mateta,162,Crystal Palace,25, FW  ,2(11),321,1,0,1,0.4,0.2,0.2,0.2,0.3,1,6.16
9,Joe Gelhardt,19,Leeds,20, FW  ,1(13),189,0,1,0.7,0.1,0.1,0.4,0,0.5,0.6,6.13
0,Lyanco,18,Southampton,25, D(C)  ,5(5),496,0,0,0.5,0.1,0.4,0.4,0,0.2,0.8,6.13
1,Mateusz Klich,19,Leeds,32, M(C)  ,0(14),266,0,0,0.3,0.4,0.1,0.2,0,0.1,0.8,6.12
2,Sam Surridge,174,Nottingham Forest,24, FW  ,1(10),187,0,0,0.4,0.1,0.2,0.5,0,0.3,0.6,6.12
3,Patrick Bamford,19,Leeds,29," AM(CLR),FW  ",4(6),429,0,1,1.7,0.4,0.2,0.5,0.5,0.5,1.5,6.11
4,Abdoulaye Doucouré,31,Everton,30, M(C)  ,2(8),223,0,0,0.3,0,0.2,0,0,0.1,0.2,6.06
5,Will Hughes,162,Crystal Palace,27, M(CLR)  ,0(11),109,0,0,0.2,0.1,0,0.1,0,0.3,0.3,6.05
6,Carlos Vinícius,170,Fulham,27, FW  ,3(7),330,0,0,0.5,0.3,0,0.6,0.2,0.7,1.2,6.05
