,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating
6,Séamus Coleman,31,Everton,7(3),655,0,0,0,0,0.3,83.1,0.6,0,6.49
7,Neeskens Kebano,170,Fulham,9(3),719,0,3,0,0,0.8,80.4,0.1,0,6.49
8,Adam Webster,211,Brighton,13,1170,0,0,1,0,0.9,86.5,2.5,0,6.49
9,Matty Cash,24,Aston Villa,13(2),1146,0,0,3,0,0.5,76.7,0.6,0,6.49
0,Jefferson Lerma,183,Bournemouth,18,1614,2,0,3,0,0.8,82.1,1.7,0,6.49
1,Danny Ward,14,Leicester,18,1620,0,0,0,0,0,69.7,0.2,1,6.49
2,Robin Koch,19,Leeds,17,1486,0,0,3,0,0.4,77.4,2.5,0,6.49
3,Conor Coady,31,Everton,16,1431,1,1,1,0,0.2,85.7,0.9,0,6.48
4,Konstantinos Tsimikas,26,Liverpool,5(7),439,0,3,1,0,0.6,85.1,0.5,0,6.48
5,Cheikhou Kouyaté,174,Nottingham Forest,9(3),709,1,0,2,0,0.4,77.6,1.2,0,6.48
6,Vladimír Coufal,29,West Ham,10(2),932,0,0,3,0,0.3,67.8,1.3,0,6.47
7,Adam Lallana,211,Brighton,10(4),635,2,1,0,0,0.5,83.1,0.6,0,6.47
8,Gavin Bazunu,18,Southampton,18,1620,0,0,0,0,0,56.1,0.4,1,6.47
9,Ryan Christie,183,Bournemouth,10(6),832,1,0,1,0,0.9,85.3,0.3,0,6.47
0,Matheus Nunes,161,Wolves,13(2),1073,0,1,1,0,1.2,82,0.5,1,6.46
1,Romain Perraud,18,Southampton,12(4),985,2,2,2,0,1.3,75.7,0.4,1,6.46
2,Ryan Sessegnon,30,Tottenham,8(6),703,2,0,3,0,1.1,72.1,0.6,0,6.45
3,Fred,32,Man Utd,4(10),458,2,0,3,0,1.1,82.3,0.2,0,6.45
4,Conor Gallagher,15,Chelsea,7(8),547,1,1,2,1,0.6,82.1,0.4,1,6.45
5,Lewis Dunk,211,Brighton,17,1530,0,0,0,0,0.5,89.2,1.5,0,6.44
6,Pablo Fornals,29,West Ham,10(6),873,1,0,0,0,1,78.7,0.3,1,6.44
7,Matt Targett,23,Newcastle,4(6),421,0,0,0,0,0.1,80.4,0.9,0,6.44
8,James Milner,26,Liverpool,4(8),464,0,1,0,0,0.4,78.8,0.6,0,6.44
9,Ezri Konsa,24,Aston Villa,17(1),1523,0,0,3,0,0.2,85.5,1.6,0,6.44
0,Chris Mepham,183,Bournemouth,15,1342,0,0,5,0,0.3,83.6,1.8,0,6.44
1,Fábio Carvalho,26,Liverpool,4(7),335,2,0,0,0,1,83.2,0.4,0,6.43
2,Kieffer Moore,183,Bournemouth,10(8),939,4,0,0,0,0.7,59.2,2.5,1,6.42
3,Renan Lodi,174,Nottingham Forest,9(1),743,0,0,2,0,0.4,76.4,0.6,0,6.42
4,Takehiro Tomiyasu,13,Arsenal,4(9),451,0,0,1,0,0.1,84.2,0.5,0,6.40
5,Remo Freuler,174,Nottingham Forest,12(2),1104,0,0,3,0,0.2,79.8,0.9,0,6.40
6,Adama Traoré,161,Wolves,6(9),742,1,0,0,0,0.6,74.1,1.5,0,6.40
7,Cristiano Ronaldo,32,Man Utd,4(6),520,1,0,2,0,2.5,76.6,1.5,1,6.39
8,Mads Roerslev,189,Brentford,8(2),702,0,0,0,0,0.1,63.6,0.4,0,6.39
