,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
59,Nathan Redmond,18,Southampton,27,"AM(CLR),FW",32,2771,4,1.2,31.9,73.7,0.2,1.2,0.0,6.96,0,4,2,0,1.8,0.6,2,2.5,1.0,0.2,1.6,2.3,1.5,0.5,0.7,0.0,0.3,1.1,0.1,0
60,Felipe Anderson,29,West Ham,28,"M(CLR),FW",20,1508,4,1.0,35.8,78.8,0.4,1.7,0.1,6.96,5,1,1,0,0.9,0.2,1,2.5,1.0,0.1,1.2,1.9,1.8,0.9,0.7,0.0,0.4,1.4,0.0,0
61,Mateo Kovacic,15,Chelsea,27,M(CL),23,2073,3,0.9,60.3,89.7,0.0,3.0,0.1,6.94,8,1,8,0,0.7,0.3,1,2.5,1.2,0.0,0.9,1.0,2.0,0.7,0.6,0.0,0.5,1.3,0.0,0
62,John Egan,163,Sheff Utd,28,D(C),36,3189,0,0.0,35.8,80.2,0.0,3.1,0.0,6.93,0,2,3,1,0.8,3.8,1,0.0,0.6,0.0,0.0,0.4,1.2,1.6,0.9,0.4,4.6,0.6,0.8,0
63,Jack O'Connell,163,Sheff Utd,27,D(C),32,2915,1,0.5,47.2,73.5,0.3,3.8,0.0,6.93,1,0,4,0,0.4,4.1,1,0.3,0.5,0.1,0.3,0.6,0.7,1.3,0.6,0.4,4.4,0.3,0.5,0
64,Jordan Ayew,162,Crystal Palace,30,"AM(CLR),FW",37,3162,2,0.8,22.0,81.3,0.0,0.5,0.1,6.93,0,9,6,0,1.6,2.2,4,2.0,2.8,0.2,2.6,3.1,1.3,0.4,1.6,0.0,0.5,0.9,0.1,0
65,Alexandre Lacazette,13,Arsenal,30,"M(LR),FW",22,1878,4,0.8,16.8,76.4,0.2,0.4,0.0,6.92,8,10,8,0,1.7,1.0,2,0.8,1.5,0.4,1.2,1.8,1.0,0.2,1.5,0.0,0.5,0.5,0.0,0
66,Djibril Sidibé,31,Everton,29,"D(CLR),M(R)",18,1851,4,0.8,37.9,78.6,0.7,2.2,0.0,6.92,7,0,3,0,0.5,1.2,1,0.6,0.8,0.1,0.5,1.1,3.3,1.6,1.0,0.1,1.3,1.2,0.1,0
67,Scott McTominay,32,Man Utd,24,"D(C),DMC",20,1772,1,0.6,37.4,80.9,0.1,2.3,0.1,6.92,7,4,2,0,1.1,1.6,2,1.1,2.0,0.0,1.1,1.3,1.6,1.1,1.3,0.0,1.2,0.6,0.2,0
68,Phil Bardsley,184,Burnley,36,D(LR),21,1890,1,0.5,31.3,66.1,0.3,2.3,0.1,6.92,0,0,6,0,0.5,1.8,0,0.2,0.6,0.0,0.1,0.6,2.3,1.4,1.7,0.1,3.1,0.6,0.5,0
69,Mason Mount,15,Chelsea,22,M(CLR),32,2875,5,1.4,33.5,85.7,0.9,0.7,0.1,6.91,5,7,3,0,2.1,0.3,2,1.1,1.0,0.1,1.4,2.2,1.0,0.4,1.0,0.0,0.5,0.9,0.1,0
70,Kurt Zouma,15,Chelsea,26,D(CR),25,2344,0,0.0,74.3,88.5,0.0,5.0,0.0,6.91,3,0,6,0,0.5,3.8,1,0.3,0.5,0.0,0.2,0.4,0.8,2.1,1.1,0.4,4.0,0.3,0.5,1
71,Etienne Capoue,27,Watford,33,"D(C),M(CL)",30,2632,3,0.7,47.8,81.3,0.3,3.7,0.1,6.91,0,0,8,0,0.6,1.6,1,0.8,1.3,0.0,0.9,0.6,2.5,2.3,1.9,0.0,1.9,1.6,0.4,0
72,Tammy Abraham,15,Chelsea,24,FW,25,2221,3,0.6,12.0,66.8,0.1,0.2,0.0,6.91,9,15,2,0,2.6,2.6,4,0.5,0.7,0.7,1.2,2.2,0.2,0.2,0.5,0.0,0.8,0.3,0.1,1
73,Kyle Walker,167,Man City,31,"D(CR),M(R)",28,2398,4,0.6,66.9,88.6,0.3,4.3,0.0,6.9,1,1,5,0,0.5,1.0,0,0.8,0.5,0.1,0.5,0.8,1.0,1.0,0.9,0.2,1.2,0.6,0.2,0
74,Reece James,15,Chelsea,21,"D(R),DMC,M(R)",16,1514,2,1.0,42.3,85.9,1.1,1.7,0.0,6.9,8,0,1,0,0.8,1.5,1,1.3,0.9,0.0,0.9,0.7,1.5,0.9,0.9,0.1,0.9,0.8,0.3,0
75,Jonny Evans,14,Leicester,33,D(CL),38,3386,1,0.2,65.6,86.8,0.0,3.1,0.0,6.9,0,1,8,1,0.6,3.3,0,0.2,0.7,0.1,0.1,0.3,1.3,1.5,0.9,0.4,4.5,0.3,0.5,1
76,N'Golo Kanté,15,Chelsea,30,DMC,20,1733,0,1.2,51.5,84.9,0.5,1.8,0.0,6.9,2,3,4,0,0.8,0.9,0,1.1,0.5,0.0,1.3,1.5,2.0,2.0,2.0,0.0,1.4,0.9,0.2,0
77,Gerard Deulofeu,27,Watford,27,"AM(LR),FW",25,2109,5,1.6,25.8,80.2,0.5,0.8,0.0,6.9,3,4,3,0,2.3,0.0,3,2.2,0.8,0.6,1.9,2.4,1.2,0.9,1.0,0.0,0.2,1.7,0.0,0
78,Philip Billing,183,Bournemouth,25,M(C),29,2536,1,0.4,33.9,74.8,0.0,1.3,0.0,6.9,5,1,8,0,1.0,3.3,1,0.6,0.7,0.1,0.8,1.5,2.1,1.9,1.1,0.0,2.8,1.4,0.5,0
79,Dan Burn,211,Brighton,29,"D(CL),M(L)",33,2881,0,0.6,46.1,74.1,0.3,1.3,0.0,6.9,1,0,5,0,0.4,4.1,2,0.6,0.4,0.1,0.7,1.1,2.0,1.2,0.9,0.3,3.6,0.8,0.6,0
80,Lewis Dunk,211,Brighton,29,D(C),36,3231,3,0.4,62.5,87.0,0.0,4.6,0.0,6.89,0,3,9,0,0.9,2.8,1,0.1,0.5,0.0,0.2,0.4,1.1,1.5,0.5,0.7,3.4,0.5,0.9,0
81,Frédéric Guilbert,24,Aston Villa,26,"D(CLR),M(R)",22,2041,2,0.5,30.0,68.9,0.6,1.6,0.0,6.89,3,0,7,0,0.3,1.9,1,0.9,0.8,0.1,0.6,1.2,3.0,2.0,1.4,0.2,2.4,1.2,0.4,0
82,Oliver McBurnie,163,Sheff Utd,25,"AM(CL),FW",24,2121,0,0.3,17.1,60.5,0.0,0.3,0.0,6.89,12,6,4,0,1.4,5.6,2,0.6,0.8,0.1,0.9,1.2,1.0,0.4,0.8,0.0,1.1,0.8,0.1,0
83,Fabinho,26,Liverpool,27,"D(CR),DMC",22,2075,3,0.7,56.4,87.0,0.1,2.9,0.0,6.89,6,2,6,0,0.4,1.5,1,0.3,0.7,0.0,0.3,0.5,2.2,1.2,1.1,0.0,0.6,1.5,0.1,0
84,Romain Saïss,161,Wolves,31,"D(C),DMC",31,2706,1,0.4,49.3,78.4,0.0,4.1,0.0,6.88,2,2,10,1,0.7,3.6,1,0.2,0.7,0.1,0.2,0.4,1.7,1.7,1.3,0.3,3.7,0.4,0.5,0
85,Charlie Taylor,184,Burnley,28,"D(L),M(L)",22,1946,1,0.5,29.7,68.7,0.8,1.4,0.0,6.88,2,0,3,0,0.0,1.9,0,0.8,1.2,0.1,0.5,0.9,1.6,1.2,0.7,0.1,2.6,0.8,0.4,0
86,Bernd Leno,13,Arsenal,29,GK,30,2650,0,0.0,26.7,72.3,0.0,2.5,0.0,6.88,0,0,2,0,0.0,0.3,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0
87,Youri Tielemans,14,Leicester,24,M(C),32,2834,6,1.5,48.1,83.0,0.4,2.7,0.1,6.88,5,3,2,0,1.5,0.7,1,0.8,1.3,0.0,0.7,1.3,1.4,0.6,0.9,0.0,0.3,1.4,0.1,0
88,Ben Mee,184,Burnley,32,D(CL),32,2880,1,0.3,39.3,71.4,0.0,3.2,0.0,6.88,0,1,7,0,0.5,4.1,1,0.2,0.7,0.1,0.1,0.4,1.3,1.3,0.8,0.5,5.0,0.4,1.0,0
