,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub
2,Roberto Firmino,26,Liverpool,30,", M(CLR),FW",34,3003,8,1.4,30.6,79.6,0.1,0.7,0,7.14,4
3,César Azpilicueta,15,Chelsea,32,", D(CLR),M(R)",36,3230,6,1.3,67.6,80.7,0.8,2.2,0,7.12,0
4,Harry Maguire,32,Man Utd,28,", D(C)",38,3450,1,0.4,66.3,86.7,0,4.4,0,7.12,0
5,Danny Ings,18,Southampton,29,", AM(C),FW",32,2815,2,0.9,16.9,62.7,0.2,0.5,0,7.12,6
6,Andrew Robertson,26,Liverpool,27,", D(L),M(L)",34,3114,12,1.7,69.2,83.7,1.1,2.3,0,7.11,2
7,Rodri,167,Man City,25,", DMC",29,2488,2,1,73.7,92.9,0.1,4.9,0.1,7.09,6
8,Sébastien Haller,29,West Ham,27,", FW",24,2263,1,0.8,24,65.8,0,0.4,0,7.08,8
9,Emiliano Buendía,168,Norwich,24,", M(R)",28,2465,7,2.3,39.1,80,1.1,2.5,0.3,7.08,8
0,Nicolas Pépé,13,Arsenal,26,", AM(LR),FW",22,2016,6,1.3,22.8,81.4,0.9,0.5,0.1,7.06,9
1,Serge Aurier,30,Tottenham,28,", D(CLR),M(R)",31,2706,5,1,38.8,79.1,0.6,1,0,7.06,2
2,Dwight McNeil,184,Burnley,21,", M(LR)",38,3345,6,1.4,27.1,79.1,1.8,1.5,0,7.06,0
3,Diego Rico,183,Bournemouth,28,", D(CL),M(L)",27,2336,4,1.2,40.2,67.3,1.6,2.1,0.1,7.06,0
4,Troy Deeney,27,Watford,33,", FW",26,2234,2,1.1,26.3,54.2,0,0.3,0,7.05,1
5,Çaglar Söyüncü,14,Leicester,25,", D(C)",34,3037,1,0.1,68.2,89.6,0,3.3,0,7.04,0
6,Bernardo Silva,167,Man City,27,", M(CLR),FW",23,2031,7,1.5,40.4,90.2,0.5,1.1,0,7.03,11
7,Pierre-Emerick Aubameyang,13,Arsenal,32,", M(CLR),FW",35,3139,3,0.7,22.7,72.2,0.6,0.3,0,7.03,1
8,João Moutinho,161,Wolves,35,", M(C)",34,3108,6,2,48.4,85.5,1.8,4,0.1,7.01,4
9,Declan Rice,29,West Ham,22,", D(C),DMC",38,3420,3,0.6,45.6,86,0.3,3.4,0,7.01,0
0,Nemanja Matic,32,Man Utd,33,", DMC",18,1613,2,0.7,60.2,87,0.1,2.2,0,7.00,3
1,John McGinn,24,Aston Villa,26,", M(C)",27,2318,3,1.3,25.4,81.4,0.5,2.9,0,7.00,1
2,Matt Doherty,161,Wolves,29,", D(LR),M(R)",32,2841,3,0.6,41,74.9,0.2,1.3,0,6.99,4
3,Hugo Lloris,30,Tottenham,34,", GK",21,1808,0,0,22.6,67.1,0,5.8,0,6.98,0
4,Wilfried Zaha,162,Crystal Palace,28,", AM(LR),FW",37,3280,3,0.9,28.8,81.1,0.5,0.7,0,6.98,1
5,Chris Basham,163,Sheff Utd,33,", D(CR),M(CR)",38,3255,1,0.3,34.6,74.7,0.2,1.8,0,6.98,0
6,Jonjo Shelvey,23,Newcastle,29,", M(C)",25,2124,2,1.7,40.2,76.9,0.8,5.5,0.1,6.97,1
7,Lucas Moura,30,Tottenham,29,", AM(CLR),FW",25,2249,4,1,22.1,73.5,0.1,0.3,0.1,6.96,10
8,Ben Chilwell,14,Leicester,24,", D(L),M(L)",27,2376,3,1.3,61.3,78.3,0.7,2,0,6.96,0
