,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
95,Toby Alderweireld,30,Tottenham,34, D(CR)  ,25,2241,0,0.3,57.5,82.5,0,4.4,0.1,6.86,1,2,0,0.4,1.8,0,0.2,0.1,0,0.1,0.1,1.4,0.4,0.7,0.7,4.6,0.5,1.1,1
96,Dani Ceballos,13,Arsenal,27, M(CL)  ,17(8),1616,3,1.1,50.9,87.2,0.4,2.8,0.1,6.85,0,4,0,0.5,0.3,2,1,1,0,0.6,0.9,1.5,1.4,0.9,0.1,0.6,1.2,0.2,0
97,Bertrand Traoré,24,Aston Villa,28," AM(R),FW  ",29(7),2338,6,1,19.4,77.7,0.6,1.2,0.1,6.85,7,1,0,1.8,0.9,3,1.4,1.1,0.2,0.7,1.9,0.7,0.4,0.9,0,0.3,0.7,0,0
98,Mateo Kovacic,15,Chelsea,29, M(CL)  ,21(6),1820,1,0.8,65.3,90.8,0,3.5,0.1,6.84,0,4,0,0.9,0.4,2,2,1.1,0,0.9,1,1.7,0.6,0.6,0,0.3,0.6,0,0
99,Joël Veltman,211,Brighton,31," D(CR),M(R)  ",25(3),2283,1,0.8,44.6,77.7,0.7,2.5,0,6.84,1,3,0,0.5,1.5,0,0.6,1.4,0,0.3,0.6,2.4,1.2,1.2,0.2,2.1,1,0.2,0
100,Oleksandr Zinchenko,167,Man City,26," D(L),M(CLR)  ",15(5),1474,0,0.8,68.4,89.8,0.3,1.5,0,6.84,0,0,0,0.8,1.5,0,0.3,0.2,0.1,0.3,0.8,1.3,1.2,0.5,0.2,1.3,0.5,0.2,0
101,Antonee Robinson,170,Fulham,26," D(L),M(L)  ",24(4),2162,0,1,37.4,74.9,1,1.2,0,6.84,0,4,1,0.4,1.3,1,1.8,0.3,0,0.8,1.6,1.6,1.3,0.7,0.1,1.9,0.6,0.1,0
102,Kelechi Iheanacho,14,Leicester,27," AM(C),FW  ",16(9),1458,2,1.1,20.2,79.8,0.2,0.4,0.2,6.84,12,1,0,2.4,0.3,2,1.3,0.5,0.4,1.4,2.3,0.5,0.1,1,0,0,0.5,0,0
103,Anthony Martial,32,Man Utd,27," AM(LR),FW  ",17(5),1488,3,0.8,21.9,84.4,0,0.2,0,6.84,4,0,1,2,0.8,1,1.6,1.2,0.7,1.7,2.3,0.1,0,0.7,0,0.4,0.5,0.1,0
104,Lewis Dunk,211,Brighton,32, D(C)  ,33,2933,0,0.3,67.4,89.4,0,5.5,0,6.84,5,5,2,1,2.4,0,0.2,0.6,0.1,0,0.4,0.9,1,0.7,0.7,3.2,0.2,0.6,1
105,Kyle Walker-Peters,18,Southampton,26," D(LR),M(R)  ",30,2649,2,0.5,44.1,80.9,0.2,1.1,0,6.84,0,4,0,0.6,0.5,0,1.5,1.4,0.2,1.6,1.2,2.8,1.3,1.1,0.2,1.7,0.8,0.3,0
106,Danny Ings,18,Southampton,31," AM(C),FW  ",26(3),2185,4,0.8,17.3,66.3,0.1,0.4,0,6.84,12,1,0,2,0.8,2,1,0.6,0.6,0.6,2.3,0.8,0.1,0.7,0,0.7,0.6,0.1,0
107,Callum Wilson,23,Newcastle,31, FW  ,23(3),2086,5,0.7,13.1,69.5,0,0.1,0,6.84,12,2,0,1.9,1.7,4,1,1.6,0.8,1.5,2.8,0.5,0.3,1.5,0,0.5,0.4,0.1,0
