,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
180,Roberto Pereyra,27,Watford,30,"M(CLR),FW",33,2825,1,1.1,34,83.2,0.2,1.4,0,6.66,0,6,3,0,1.7,0.1,1,1.2,1.1,0.1,2,2.5,0.6,0.7,0.8,0,0.6,0.5,0,0
181,Craig Cathcart,27,Watford,32,D(CR),35,3099,0,0,35.5,81.5,0,2.7,0,6.66,1,3,2,0,0.4,2.4,2,0.1,0.2,0,0.1,0.3,1.4,1.1,0.4,1.1,5,0.4,0.8,2
182,Yan Valery,18,Southampton,22,"D(R),M(R)",20,1715,1,0.3,17.3,61.9,0.3,0.6,0,6.66,3,2,3,1,0.3,1.8,0,1,0.3,0.1,1.3,1.4,1.8,1,1.2,0.3,2.5,0.6,0.1,0
183,Dale Stephens,211,Brighton,32,M(C),29,2487,1,0.6,45.1,83.7,0,4.1,0,6.66,1,1,6,1,0.4,0.9,1,0.2,0.3,0,0.5,0.9,2.8,1.5,1.5,0,1.5,1.5,0.4,0
184,Joe Bryan,170,Fulham,28,"D(L),M(CL)",27,2347,1,0.9,33.9,75.4,0.8,1.7,0,6.65,1,0,5,0,0.8,1.1,0,0.5,1,0.1,0.6,0.8,2.2,1.1,0.9,0.1,2.5,0.6,0.4,0
185,Ross Barkley,15,Chelsea,27,M(CLR),13,1243,5,0.8,35.3,91.2,0,1.5,0.1,6.65,14,3,1,0,1.5,0.7,1,0.6,1,0,1.2,0.7,0.6,0.3,0.5,0,0.5,0.4,0,0
186,André Gomes,31,Everton,28,M(CLR),24,1986,1,0.2,44.4,84.8,0.1,3.5,0,6.65,3,1,7,0,0.8,1.4,0,1.5,1,0,1.9,1.3,1.4,0.7,1.8,0,0.7,1.7,0.1,0
187,Glenn Murray,211,Brighton,38,FW,30,2513,1,0.3,15.9,58.3,0,0.2,0,6.65,8,13,5,0,1.4,4.6,3,0.2,1.4,1,0.9,2.2,0.4,0.1,2.1,0.1,0.4,0.4,0.1,0
188,Mateo Kovacic,15,Chelsea,27,M(CL),21,1745,2,0.8,45.9,92,0,0.9,0.2,6.65,11,0,3,0,0.9,0.3,0,1.3,1,0,1.2,0.8,1.4,0.3,0.6,0,0.6,0.8,0.1,0
189,Davy Pröpper,211,Brighton,30,M(C),30,2551,1,0.6,40.4,80,0.1,2.5,0.1,6.65,0,1,2,0,0.5,1.2,1,1,0.6,0,0.8,1.5,1.7,1.8,1.1,0,1.1,1.2,0.2,0
190,Mark Noble,29,West Ham,34,M(C),29,2308,5,0.7,48.6,85.3,0.2,4.4,0.2,6.65,2,5,6,1,0.5,0.3,0,0.5,1.2,0,1.1,0.9,1.5,0.7,0.7,0,0.4,1.2,0.1,0
191,Anthony Knockaert,211,Brighton,29,AM(LR),18,1833,6,1.2,20.5,76.9,1.3,1.3,0,6.64,12,2,4,1,0.9,0.5,0,1,0.6,0.1,1,1.7,1.1,1,0.7,0,0.2,0.6,0,0
192,Gabriel Jesus,167,Man City,24,"AM(LR),FW",8,1022,3,0.7,12.3,82.6,0,0.1,0,6.64,21,7,1,0,1.5,0.5,1,0.8,0.6,0.5,1,1.1,0.3,0.1,0.4,0,0.1,0.2,0.1,0
193,Matthew Lowton,184,Burnley,32,"D(LR),M(R)",19,1748,0,0.4,30.4,69,0.3,3.4,0,6.64,2,0,7,0,0.2,1.2,0,0.6,0.6,0,0.5,0.3,2.7,1.4,1,0.1,3.4,1.3,0.3,0
194,Sam Vokes,184,Burnley,31,FW,10,916,0,0.4,13.4,50.7,0,0.1,0,6.63,10,3,0,0,1.1,6.3,0,0.2,0.5,0.4,0.7,1.4,0.2,0,0.7,0,0.9,0,0.1,0
195,Yves Bissouma,211,Brighton,25,M(C),17,1771,0,0.5,25.5,81.8,0.1,0.9,0,6.63,11,0,5,0,1.1,1,1,1.7,0.9,0.1,1.1,1.5,2.2,1.2,1.4,0,0.9,0.6,0.2,0
196,Kepa Arrizabalaga,15,Chelsea,27,GK,36,3240,0,0,27.9,85.4,0,5.2,0,6.63,0,0,2,0,0,0.2,1,0,0.1,0,0,0,0,0,0,0,0.4,0,0,0
197,Alex Iwobi,13,Arsenal,25,M(CLR),22,1976,6,1.1,27.2,77.8,0.3,0.8,0,6.62,13,3,0,0,1,0.1,0,1.3,0.4,0.1,1.6,2,0.8,0.3,0.2,0,0.3,0.5,0,0
198,Denis Odoi,170,Fulham,33,D(CLR),29,2594,1,0.4,43,82.1,0.1,2.2,0,6.62,2,0,4,0,0.3,1.8,0,0.5,1,0,0.4,0.6,1.5,1.3,1.2,0.3,4.6,0.4,0.8,1
199,Martin Dúbravka,23,Newcastle,32,GK,38,3420,0,0,27.2,53.4,0,7.4,0,6.62,0,0,1,0,0,0.4,1,0,0.1,0,0,0,0.1,0,0,0,0.9,0.1,0,0
200,Dominic Calvert-Lewin,31,Everton,24,"AM(L),FW",19,1776,2,0.3,12.2,61.7,0.1,0.3,0,6.61,16,6,3,0,1.5,3.2,0,0.6,0.9,0.2,1.2,1.9,0.4,0.2,1,0,0.5,0.2,0.1,0
201,Cyrus Christie,170,Fulham,29,"D(R),M(R)",19,1945,1,0.6,31.6,76.4,0.6,0.8,0,6.61,9,0,7,0,0.4,2,0,1,0.5,0.1,1,1,1.5,1,1,0.2,2.9,0.8,0.4,0
202,Ryan Bertrand,18,Southampton,32,"D(CL),M(L)",24,2160,0,1,32.3,75.5,0.9,0.8,0.1,6.61,0,1,8,0,0.7,1.6,0,0.3,0.9,0,0.3,1.3,1.9,1.2,1.1,0.1,1.8,0.6,0.2,0
203,Sead Kolasinac,13,Arsenal,28,"D(CL),DMC,M(L)",22,1891,5,1.3,40.5,77.7,0.5,0.8,0,6.61,2,0,5,0,0.4,0.8,0,0.5,0.4,0.4,0.7,1.3,1.4,0.8,0.9,0,1,0.6,0.1,0
204,Aron Gunnarsson,188,Cardiff,32,M(C),27,2275,1,0.6,26.8,71.6,0.1,1.5,0,6.61,1,1,5,0,0.7,1.7,0,0.4,1.1,0,0.3,0.9,1.8,1.4,0.9,0,1.9,2.2,0.4,0
205,Cheikhou Kouyaté,162,Crystal Palace,31,"D(CR),DMC",21,1897,2,0.5,24.7,80.1,0,0.6,0,6.61,10,0,3,0,0.6,2.1,0,0.4,0.5,0.1,0.7,0.8,1.9,0.5,1.1,0.1,1,0.8,0.4,0
206,Jonathan Hogg,166,Huddersfield,32,DMC,29,2377,1,0.6,53.3,83.2,0.1,2.4,0,6.60,0,0,8,1,0.3,1.1,0,0.3,1.2,0,0.7,1.1,2.7,2.5,2,0,0.6,1.4,0.2,0
207,Adrian Mariappa,27,Watford,35,D(CR),20,1924,0,0.2,34,82.3,0,2.2,0,6.60,6,0,3,0,0.3,2.3,1,0,0.2,0,0.2,0.2,1.3,1,0.7,0.7,4.5,0.6,0.6,0
208,Tom Cairney,170,Fulham,30,M(CR),24,2200,1,1.3,44.3,90.2,0.2,1.9,0.1,6.60,7,1,0,0,0.8,0.3,0,1.4,1.3,0,1.6,1.1,1.2,0.3,0.3,0,0.4,0.1,0.2,0
209,Bernard,31,Everton,29,AM(CL),25,2129,3,1.2,23.7,75.3,0.4,0.5,0.1,6.60,9,1,5,0,0.7,0.1,0,1.2,0.8,0.1,1.2,2.2,1.4,0.8,0.5,0,0.4,1.2,0.1,0
210,Alexis Sánchez,32,Man Utd,32,"M(CLR),FW",9,877,3,1.1,19.1,74.6,0.3,1.2,0.1,6.60,11,1,3,0,0.9,0.4,0,0.7,0.9,0.4,1.3,1.1,0.9,0.5,0.7,0,0.1,0.4,0,0
211,Jesse Lingard,32,Man Utd,28,"AM(CLR),FW",19,1670,2,0.6,28.2,85.7,0.1,0.3,0.1,6.59,8,4,3,0,1.2,0.2,1,0.5,0.9,0.3,0.7,1.6,1.1,0.4,1,0,0.2,0.8,0.1,0
212,Adama Traoré,161,Wolves,25,"M(CLR),FW",8,896,1,0.6,9.3,72.2,0.5,0.2,0,6.59,21,1,1,0,0.7,0.8,1,2.2,0.9,0.2,1.6,1.3,0.6,0.2,0.5,0,0.2,0.2,0,0
213,Chicharito,29,West Ham,33,FW,14,1339,1,0.2,12.9,71.1,0,0.4,0.1,6.59,11,7,2,0,1.5,0.5,0,0.5,1.4,0.4,0.4,1.2,0.1,0,0.4,0,0.3,0.2,0,0
214,André Schürrle,170,Fulham,30,"M(CLR),FW",21,1650,0,0.9,21.8,77.8,0.4,0.7,0,6.59,3,6,2,0,2.3,0.6,1,0.8,0.8,0.5,1.4,2.1,1.3,0.3,0.7,0,0.7,1.3,0,0
215,Christopher Schindler,166,Huddersfield,31,D(C),37,3262,0,0.1,41.9,82.8,0,4,0,6.59,0,1,4,1,0.4,3.7,1,0,0.5,0,0.1,0.2,1.6,1.9,0.7,0.6,3.6,0.5,0.9,0
216,Terence Kongolo,166,Huddersfield,27,D(CL),32,2722,1,0.3,35.9,78,0.1,2.2,0,6.58,0,1,4,0,0.4,1.7,0,0.3,0.8,0.1,0.1,0.5,2.3,2,0.6,0.4,3,0.6,0.5,1
217,Alex McCarthy,18,Southampton,31,GK,25,2250,0,0,23.4,45,0,5.6,0,6.58,0,0,1,0,0,0.6,1,0,0.1,0,0,0,0,0,0,0,0.9,0,0,0
218,Jack Cork,184,Burnley,32,DMC,37,3313,2,0.5,35.9,81.2,0.1,2.1,0.1,6.58,0,1,6,0,0.5,1.4,0,0.8,1,0.1,1,1.2,1.4,0.8,0.8,0,2.1,0.8,0.4,0
219,Sergio Rico,170,Fulham,28,GK,29,2610,0,0.1,27.4,53.8,0,9.2,0,6.57,0,0,1,0,0,0.5,2,0,0.2,0,0,0,0,0,0,0,1.2,0,0,0
