,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,sub
0,Michael Keane,31,Everton,28,", D(CR)",28,2586,1,1.4,0.6,0.6,4.8,0.3,0.9,1,6.83,3
1,Pierre-Emile Højbjerg,18,Southampton,26,", M(C)",30,2751,2.4,1.4,1.4,0.1,1.5,1.6,0.2,0,6.83,3
2,Jan Bednarek,18,Southampton,25,", D(C)",34,3058,1.9,2.3,1,0.6,5.7,0.9,0.7,1,6.83,0
3,Yerry Mina,31,Everton,27,", D(C)",25,2282,1.3,1,0.7,1,3.4,0.2,0.5,1,6.83,4
4,Toby Alderweireld,30,Tottenham,32,", D(CR)",33,2958,1.2,0.9,0.5,0.2,5.2,0.4,1,1,6.82,0
5,Enda Stevens,163,Sheff Utd,31,", D(CL),M(L)",38,3347,2.1,0.9,1,0.1,1.6,1.4,0.2,0,6.82,0
6,Rúben Neves,161,Wolves,24,", DMC",35,3060,1.6,1.5,0.8,0,0.8,1.4,0.2,0,6.82,3
7,Oliver Norwood,163,Sheff Utd,30,", M(C)",37,3101,1.7,1.2,0.8,0,1,1.8,0.3,0,6.82,1
8,Christian Benteke,162,Crystal Palace,30,", FW",13,1259,0.4,0.2,1,0,1.2,0.4,0.2,0,6.81,11
9,Georginio Wijnaldum,26,Liverpool,30,", M(CLR)",35,2948,1,0.5,0.4,0.1,0.9,0.8,0.1,0,6.81,2
0,James McArthur,162,Crystal Palace,34,", M(CLR)",37,3105,2.4,1.6,1.5,0,1.3,1.9,0.5,0,6.81,0
1,Jonny,161,Wolves,27,", D(CLR),M(L)",33,2891,2.6,1.5,1,0,0.8,1.5,0.3,0,6.81,2
2,David McGoldrick,163,Sheff Utd,33,", AM(CLR),FW",22,1825,1.5,0.1,1.1,0,0.8,0.5,0.1,0,6.81,6
3,Nicolás Otamendi,167,Man City,33,", D(C)",18,1711,1.2,0.9,0.9,0.5,3,0.7,0.4,0,6.80,6
4,Ryan Fredericks,29,West Ham,29,", D(R),M(R)",25,2237,3,0.9,0.9,0.3,2.4,0.9,0.4,0,6.80,2
5,Adam Webster,211,Brighton,26,", D(C)",31,2670,1,1.5,0.4,0.4,3.5,0.6,0.8,1,6.79,0
6,Robert Snodgrass,29,West Ham,34,", M(CLR)",17,1513,1.2,0.2,0.8,0,0.5,1.3,0,0,6.79,7
7,Jan Vertonghen,30,Tottenham,34,", D(CL)",19,1647,1.7,1.4,0.3,0.3,2.9,0.5,0.4,0,6.79,4
8,Ashley Westwood,184,Burnley,31,", DMC",35,3150,1.5,0.9,0.9,0,0.7,0.9,0.3,0,6.79,0
9,George Baldock,163,Sheff Utd,28,", D(CR),M(R)",38,3420,1.6,0.9,1.2,0.1,1.8,0.5,0.1,0,6.79,0
0,Granit Xhaka,13,Arsenal,29,", D(L),M(C)",30,2591,1.5,0.7,1.8,0.1,1.8,1,0.5,0,6.78,1
1,Joe Gomez,26,Liverpool,24,", D(CLR)",22,2000,0.8,1.4,0.8,0.6,2.1,0.4,0.3,0,6.78,6
2,Antonio Rüdiger,15,Chelsea,28,", D(CR)",19,1711,1.4,0.8,1,0.3,2.8,0.5,0.5,1,6.77,1
3,Nick Pope,184,Burnley,29,", GK",38,3420,0,0.1,0,0,0.7,0,0,0,6.77,0
4,Ayoze Pérez,14,Leicester,28,", AM(CLR),FW",26,2020,1.4,0.4,0.9,0,0.2,1.4,0,0,6.77,7
5,Mason Holgate,31,Everton,24,", D(CR),M(R)",24,2084,1.6,1.3,0.6,0.3,3.5,0.4,0.5,0,6.77,3
