,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,sub
4,Richarlison,31,Everton,36,3111,13,3,8,0,2.5,66.6,2.1,6,7.19,0
5,Willy Boly,161,Wolves,22,1980,0,1,1,1,0.2,80.9,4,2,7.19,0
6,James Tarkowski,184,Burnley,38,3420,2,2,10,0,0.6,70.8,5.2,6,7.19,0
7,Christian Pulisic,15,Chelsea,19,1727,9,4,0,0,2.5,79.9,0.8,4,7.18,6
8,Sergio Agüero,167,Man City,18,1460,16,3,1,0,3.2,80.5,0.1,2,7.16,6
9,Lucas Digne,31,Everton,35,3035,0,7,6,0,0.8,74.2,3.3,2,7.16,0
0,James Ward-Prowse,18,Southampton,38,3420,5,3,9,0,1.5,80.9,1.9,1,7.15,0
1,Jordan Henderson,26,Liverpool,26,2244,4,5,2,0,0.7,84.5,0.9,1,7.15,4
2,Roberto Firmino,26,Liverpool,34,3003,9,8,0,0,2.6,79.6,0.7,2,7.14,4
3,César Azpilicueta,15,Chelsea,36,3230,2,6,1,0,0.8,80.7,2.6,2,7.12,0
4,Harry Maguire,32,Man Utd,38,3450,1,1,6,0,0.8,86.7,4.6,1,7.12,0
5,Danny Ings,18,Southampton,32,2815,22,2,3,0,2.4,62.7,1.2,4,7.12,6
6,Andrew Robertson,26,Liverpool,34,3114,2,12,2,0,0.6,83.7,0.9,2,7.11,2
7,Rodri,167,Man City,29,2488,3,2,8,0,0.7,92.9,1.6,1,7.09,6
8,Sébastien Haller,29,West Ham,24,2263,7,1,1,0,1.8,65.8,6.8,3,7.08,8
9,Emiliano Buendía,168,Norwich,28,2465,1,7,6,1,1.1,80,0.8,6,7.08,8
0,Nicolas Pépé,13,Arsenal,22,2016,5,6,4,0,1.6,81.4,0.7,4,7.06,9
1,Serge Aurier,30,Tottenham,31,2706,1,5,2,1,0.4,79.1,2.1,2,7.06,2
2,Dwight McNeil,184,Burnley,38,3345,2,6,5,0,1.3,79.1,0.7,3,7.06,0
3,Diego Rico,183,Bournemouth,27,2336,0,4,6,0,0.4,67.3,1.2,2,7.06,0
4,Troy Deeney,27,Watford,26,2234,10,2,3,0,1.7,54.2,7.3,2,7.05,1
5,Çaglar Söyüncü,14,Leicester,34,3037,1,1,4,1,0.5,89.6,3.2,0,7.04,0
6,Bernardo Silva,167,Man City,23,2031,6,7,5,0,1.5,90.2,0.4,1,7.03,11
7,Pierre-Emerick Aubameyang,13,Arsenal,35,3139,22,3,3,1,2.6,72.2,0.9,3,7.03,1
8,João Moutinho,161,Wolves,34,3108,1,6,7,0,0.6,85.5,0.6,1,7.01,4
9,Declan Rice,29,West Ham,38,3420,1,3,6,0,0.8,86,1.4,2,7.01,0
0,Nemanja Matic,32,Man Utd,18,1613,0,2,3,0,0.3,87,1.4,1,7.00,3
1,John McGinn,24,Aston Villa,27,2318,3,3,3,0,2,81.4,0.7,4,7.00,1
2,Matt Doherty,161,Wolves,32,2841,4,3,1,0,1,74.9,3.7,3,6.99,4
3,Hugo Lloris,30,Tottenham,21,1808,0,0,0,0,0,67.1,0.3,1,6.98,0
4,Wilfried Zaha,162,Crystal Palace,37,3280,4,3,5,0,1.6,81.1,0.3,2,6.98,1
5,Chris Basham,163,Sheff Utd,38,3255,0,1,4,0,0.2,74.7,2.9,4,6.98,0
6,Jonjo Shelvey,23,Newcastle,25,2124,6,2,3,0,1.7,76.9,0.7,1,6.97,1
7,Lucas Moura,30,Tottenham,25,2249,4,4,3,0,1.6,73.5,1.7,2,6.96,10
8,Ben Chilwell,14,Leicester,27,2376,3,3,3,0,0.6,78.3,2.1,1,6.96,0
9,Nathan Redmond,18,Southampton,32,2771,4,4,2,0,1.8,73.7,0.6,2,6.96,0
0,Felipe Anderson,29,West Ham,20,1508,1,4,1,0,0.9,78.8,0.2,1,6.96,5
1,Mateo Kovacic,15,Chelsea,23,2073,1,3,8,0,0.7,89.7,0.3,1,6.94,8
2,John Egan,163,Sheff Utd,36,3189,2,0,3,1,0.8,80.2,3.8,1,6.93,0
3,Jack O'Connell,163,Sheff Utd,32,2915,0,1,4,0,0.4,73.5,4.1,1,6.93,1
4,Jordan Ayew,162,Crystal Palace,37,3162,9,2,6,0,1.6,81.3,2.2,4,6.93,0
5,Alexandre Lacazette,13,Arsenal,22,1878,10,4,8,0,1.7,76.4,1,2,6.92,8
